DetID,PEDESTAL_ADC,PEDESTAL_RMS_ADC
0x18880103,101.815,2.057
0x18880102,103.05,2.156
0x18880101,96.042,2.221
0x18880100,103.475,2.402
0x18800103,91.348,2.14
0x18800102,91.417,1.952
0x18800101,94.287,1.711
0x18800100,94.331,1.792
0x18880107,105.415,2.752
0x18880106,104.711,2.556
0x18880105,92.469,2.369
0x18880104,94.808,2.053
0x18800107,93.853,2.299
0x18800106,102.101,2.276
0x18800105,98.691,2.547
0x18800104,103.278,2.556
0x18880203,107.022,2.786
0x18880202,104.528,2.603
0x18880201,102.147,2.512
0x18880200,94.84,2.195
0x18800203,105.416,2.857
0x18800202,95.721,2.504
0x18800201,95.886,2.382
0x18800200,94.807,2.376
0x18880207,103.109,2.527
0x18880206,101.592,2.315
0x18880205,94.069,2.202
0x18880204,94.555,2.176
0x18800207,106.002,2.563
0x18800206,106.336,2.744
0x18800205,95.013,2.174
0x18800204,92.883,2.233
0x18880303,94.481,3.942
0x18880302,107.205,4.156
0x18880301,91.628,3.867
0x18880300,96.421,4.1
0x18800303,101.719,3.587
0x18800302,97.508,3.804
0x18800301,90.806,3.9
0x18800300,90.928,3.851
0x18880307,95.172,4.232
0x18880306,105.697,4.367
0x18880305,104.365,4.117
0x18880304,98.303,4.099
0x18800307,99.294,4.181
0x18800306,98.609,4.268
0x18800305,104.877,4.27
0x18800304,92.309,4.578
0x18880400,95.218,4.294
0x18880401,100.95,4.2
0x18880402,100.712,3.935
0x18880403,97.726,4.116
0x18800400,105.601,4.624
0x18800401,102.789,4.365
0x18800402,106.424,4.563
0x18800403,99.962,4.299
0x18880404,94.357,3.777
0x18880405,93.58,3.977
0x18880406,96.26,3.929
0x18880407,93.464,4.012
0x18800404,100.718,4.192
0x18800405,95.542,4.175
0x18800406,95.92,4.157
0x18800407,103.133,3.948
0x18880503,100.653,2.777
0x18880502,100.254,2.607
0x18880501,107.363,2.633
0x18880500,97.737,2.557
0x18800503,94.363,1.887
0x18800502,93.771,1.976
0x18800501,88.155,2.203
0x18800500,103.798,2.186
0x18880507,89.496,2.267
0x18880506,95.406,2.02
0x18880505,92.095,2.136
0x18880504,92.645,2.155
0x18800507,90.711,2.025
0x18800506,102.469,2.4
0x18800505,104.148,2.379
0x18800504,105.366,2.363
0x18880600,100.224,2.453
0x18880601,96.136,2.457
0x18880602,101.679,2.265
0x18880603,94.225,1.902
0x18800600,107.702,2.524
0x18800601,92.233,2.241
0x18800602,101.963,2.186
0x18800603,96.033,2.345
0x18880604,105.754,2.468
0x18880605,91.703,2.261
0x18880606,108.833,2.236
0x18880607,96.025,2.123
0x18800604,95.997,2.028
0x18800605,102.623,2.376
0x18800606,102.779,2.371
0x18800607,93.524,2.085
0x18880703,90.692,1.474
0x18880702,97.185,1.884
0x18880701,90.718,1.82
0x18880700,100.769,2.038
0x18800703,101.158,1.615
0x18800702,92.512,1.633
0x18800701,93.813,1.334
0x18800700,99.51,1.642
0x18880707,104.463,1.849
0x18880706,99.988,1.939
0x18880705,102.381,1.945
0x18880704,96.619,2.29
0x18800707,91.81,1.856
0x18800706,165.195,5.481
0x18800705,103.321,1.958
0x18800704,101.866,1.907
0x18880800,101.923,2.1
0x18880801,104.993,1.911
0x18880802,103.937,1.832
0x18880803,93.084,1.887
0x18800800,102.696,1.947
0x18800801,99.44,2.143
0x18800802,94.882,1.957
0x18800803,95.715,1.994
0x18880804,105.244,1.915
0x18880805,105.144,1.964
0x18880806,96.809,2.119
0x18880807,94.478,1.67
0x18800804,93.852,1.56
0x18800805,95.588,1.814
0x18800806,104.139,1.906
0x18800807,103.13,1.787
0x18880903,101.225,2.441
0x18880902,100.408,3.244
0x18880901,88.318,3.374
0x18880900,94.826,3.322
0x18800903,95.117,2.748
0x18800902,100.162,3.487
0x18800901,94.558,2.832
0x18800900,93.314,2.674
0x18880907,99.451,3.499
0x18880906,96.2,3.315
0x18880905,107.485,2.671
0x18880904,106.6,2.395
0x18800907,103.482,2.933
0x18800906,100.724,3.095
0x18800905,107.982,2.521
0x18800904,101.072,3.44
0x18880a00,90.342,3.222
0x18880a01,107.161,3.25
0x18880a02,91.55,2.729
0x18880a03,97.475,3.687
0x18800a00,93.237,3.457
0x18800a01,90.336,3.381
0x18800a02,98.454,2.992
0x18800a03,104.667,3.152
0x18880a04,97.434,3.426
0x18880a05,93.688,3.049
0x18880a06,94.427,3.026
0x18880a07,102.157,3.326
0x18800a04,103.203,3.329
0x18800a05,97.659,3.379
0x18800a06,93.308,3.284
0x18800a07,89.584,3.678
0x18880a08,92.516,2.803
0x18880a09,93.594,2.436
0x18880a0a,91.715,2.8
0x18880a0b,94.385,2.647
0x18800a08,95.27,2.263
0x18800a09,93.893,2.366
0x18800a0a,92.698,2.459
0x18800a0b,95.884,2.263
0x18880b03,100.399,2.285
0x18880b02,94.55,2.971
0x18880b01,105.259,2.114
0x18880b00,94.204,2.624
0x18800b03,104.464,2.095
0x18800b02,101.075,2.2
0x18800b01,94.455,2.525
0x18800b00,105.555,2.452
0x18880b07,99.948,2.588
0x18880b06,105.246,2.221
0x18880b05,106.587,2.175
0x18880b04,104.167,2.213
0x18800b07,106.763,2.299
0x18800b06,93.917,2.696
0x18800b05,91.599,2.734
0x18800b04,91.826,2.721
0x18880b0b,97.201,2.534
0x18880b0a,96.942,2.428
0x18880b09,104.424,2.16
0x18880b08,100.785,2.204
0x18800b0b,106.914,2.253
0x18800b0a,103.997,2.143
0x18800b09,101.848,2.227
0x18800b08,96.873,2.438
0x18880c00,102.466,2.248
0x18880c01,94.843,2.003
0x18880c02,91.275,2.363
0x18880c03,93.837,1.712
0x18800c00,93.503,1.937
0x18800c01,98.041,2.396
0x18800c02,99.596,2.453
0x18800c03,106.006,2.164
0x18880c04,97.251,2.366
0x18880c05,107.038,2.112
0x18880c06,94.926,1.837
0x18880c07,92.857,1.958
0x18800c04,95.274,2.004
0x18800c05,99.029,2.506
0x18800c06,93.122,1.921
0x18800c07,92.954,1.617
0x18880c08,91.132,2.162
0x18880c09,100.103,2.321
0x18880c0a,108.891,2.055
0x18880c0b,93.609,1.728
0x18800c08,107.232,2.029
0x18800c09,89.657,2.171
0x18800c0a,104.104,2.036
0x18800c0b,91.604,2.045
0x18880d03,99.89,2.421
0x18880d02,95.834,2.185
0x18880d01,93.329,1.607
0x18880d00,100.682,2.147
0x18800d03,107.885,2.174
0x18800d02,97.555,2.492
0x18800d01,95.79,2.17
0x18800d00,90.558,2.085
0x18880d07,104.815,2.062
0x18880d06,94.604,1.892
0x18880d05,102.522,2.172
0x18880d04,101.278,2.125
0x18800d07,104.336,2.208
0x18800d06,96.46,2.317
0x18800d05,103.672,2.226
0x18800d04,96.61,2.252
0x18880d0b,108.057,2.002
0x18880d0a,94.189,1.891
0x18880d09,103.544,2.094
0x18880d08,106.051,2.217
0x18800d0b,92.875,2.004
0x18800d0a,89.01,2.114
0x18800d09,96.712,2.079
0x18800d08,100.892,2.272
0x18880e00,108.725,2.231
0x18880e01,101.825,2.247
0x18880e02,91.847,1.966
0x18880e03,94.48,1.983
0x18800e00,94.182,1.802
0x18800e01,97.774,2.45
0x18800e02,95.027,1.817
0x18800e03,98.273,2.185
0x18880e04,102.023,2.226
0x18880e05,102.602,2.408
0x18880e06,104.697,2.371
0x18880e07,106.215,2.376
0x18800e04,104.374,2.405
0x18800e05,91.032,2.374
0x18800e06,94.223,2.062
0x18800e07,101.47,2.316
0x18880e08,102.469,2.995
0x18880e09,90.493,2.828
0x18880e0a,94.175,2.238
0x18880e0b,91.32,2.584
0x18800e08,100.053,2.937
0x18800e09,92.428,2.738
0x18800e0a,103.434,2.663
0x18800e0b,106.1,2.839
0x18880f03,106.476,2.636
0x18880f02,104.967,2.747
0x18880f01,92.367,2.274
0x18880f00,98.332,4.604
0x18800f03,90.002,2.499
0x18800f02,93.79,2.622
0x18800f01,102.805,2.722
0x18800f00,93.111,2.804
0x18880f07,106.39,2.584
0x18880f06,104.49,2.626
0x18880f05,99.873,2.616
0x18880f04,91.753,1.92
0x18800f07,92.966,2.065
0x18800f06,92.925,2.408
0x18800f05,95.595,2.056
0x18800f04,105.718,2.5
0x18880f0b,91.229,2.135
0x18880f0a,91.931,2.354
0x18880f09,94.326,2.261
0x18880f08,98.761,2.691
0x18800f0b,104.728,2.371
0x18800f0a,93.318,2.289
0x18800f09,89.97,1.82
0x18800f08,94.26,2.272
0x18881000,89.873,15.988
0x18881001,97.233,14.81
0x18881002,94.169,15.059
0x18881003,92.555,16.794
0x18801000,94.379,15.733
0x18801001,94.357,15.811
0x18801002,99.413,14.612
0x18801003,94.597,14.559
0x18881004,94.44,15.107
0x18881005,98.853,15.402
0x18881006,93.963,15.494
0x18881007,93.98,15.261
0x18801004,94.393,15.158
0x18801005,94.401,15.124
0x18801006,94.013,16.452
0x18801007,95.389,15.084
0x18881008,94.203,15.653
0x18881009,94.436,16.406
0x1888100a,95.138,15.001
0x1888100b,94.333,16.492
0x18801008,100.345,15.537
0x18801009,92.954,17.159
0x1880100a,94.609,14.94
0x1880100b,99.123,15.286
0x18881103,94.366,16.574
0x18881102,94.224,16.736
0x18881101,94.563,14.59
0x18881100,98.379,14.872
0x18801103,90.868,16.832
0x18801102,94.222,16.187
0x18801101,91.887,16.957
0x18801100,89.719,16.793
0x18881107,,
0x18881106,,
0x18881105,,
0x18881104,,
0x18801107,,
0x18801106,,
0x18801105,,
0x18801104,,
0x1888110b,,
0x1888110a,,
0x18881109,,
0x18881108,,
0x1880110b,,
0x1880110a,,
0x18801109,,
0x18801108,,
0x18881200,,
0x18881201,,
0x18881202,,
0x18881203,,
0x18801200,100.029,1.614
0x18801201,,
0x18801202,,
0x18801203,,
0x18881204,,
0x18881205,,
0x18881206,,
0x18881207,,
0x18801204,,
0x18801205,,
0x18801206,,
0x18801207,,
0x18881208,,
0x18881209,,
0x1888120a,,
0x1888120b,,
0x18801208,,
0x18801209,,
0x1880120a,,
0x1880120b,,
0x18881303,,
0x18881302,,
0x18881301,,
0x18881300,,
0x18801303,,
0x18801302,,
0x18801301,,
0x18801300,93.25,1.392
0x18881307,,
0x18881306,,
0x18881305,,
0x18881304,,
0x18801307,93.891,4.548
0x18801306,,
0x18801305,,
0x18801304,,
0x1888130b,,
0x1888130a,,
0x18881309,100.0,1.414
0x18881308,,
0x1880130b,,
0x1880130a,,
0x18801309,,
0x18801308,,
